"DateTime","Hagar Verð ","Hagar Magn"
"2015-09-21 18:00:00",41.75,609230
"2015-09-22 18:00:00",42.075,4775518
"2015-09-23 18:00:00",41.75,3387092
"2015-09-24 18:00:00",42.05,1900000
"2015-09-25 18:00:00",41.85,1734111
"2015-09-28 18:00:00",42.3,321463
"2015-09-29 18:00:00",42,624814
"2015-09-30 18:00:00",42,3021350
"2015-10-01 18:00:00",42.35,2555674
"2015-10-02 18:00:00",42.4,5465000
"2015-10-05 18:00:00",43,723237
"2015-10-06 18:00:00",42.5,2429772
"2015-10-07 18:00:00",42.55,2105758
"2015-10-08 18:00:00",43,4007022
"2015-10-09 18:00:00",42.65,4676645
"2015-10-12 18:00:00",42.6,315000
"2015-10-13 18:00:00",43.2,5806296
"2015-10-14 18:00:00",42.85,6726840
"2015-10-15 18:00:00",42.9,36055
"2015-10-16 18:00:00",42.85,2047012
"2015-10-19 18:00:00",43,886777
"2015-10-20 18:00:00",42.7,1434074
"2015-10-21 18:00:00",42.4,6116354
"2015-10-22 18:00:00",43,5489929
"2015-10-23 18:00:00",43.15,6684100
"2015-10-26 18:00:00",43.5,3966760
"2015-10-27 18:00:00",43.55,2336000
"2015-10-28 18:00:00",43,2643219
"2015-10-29 18:00:00",45,27695983
"2015-10-30 18:00:00",44.9,10965832
"2015-11-02 18:00:00",44.35,526536
"2015-11-03 18:00:00",44.45,4906703
"2015-11-04 18:00:00",44.65,5531544
"2015-11-05 18:00:00",44.3,4456025
"2015-11-06 18:00:00",44.3,0
"2015-11-09 18:00:00",43.75,162827
"2015-11-10 18:00:00",43.75,4728
"2015-11-11 18:00:00",44.5,6168000
"2015-11-12 18:00:00",44.65,4124606
"2015-11-13 18:00:00",45,2565000
"2015-11-16 18:00:00",45,1310900
"2015-11-17 18:00:00",44.1,1091000
"2015-11-18 18:00:00",43.8,2044000
"2015-11-19 18:00:00",44,1704335
"2015-11-20 18:00:00",44,57000
"2015-11-23 18:00:00",44.15,2826625
"2015-11-24 18:00:00",44.5,1160000
"2015-11-25 18:00:00",44.35,539912
"2015-11-26 18:00:00",44.1,270000
"2015-11-27 18:00:00",44.1,150000
"2015-11-30 18:00:00",44.1,2642950
"2015-12-01 18:00:00",44.2,100000
"2015-12-02 18:00:00",45.6,8942900
"2015-12-03 18:00:00",45.5,115193
"2015-12-04 18:00:00",45.5,2046530
"2015-12-07 18:00:00",45.5,0
"2015-12-08 18:00:00",46,4437986
"2015-12-09 18:00:00",45.45,1385000
"2015-12-10 18:00:00",45.75,99000
"2015-12-11 18:00:00",45.45,88000
"2015-12-14 18:00:00",44.8,13162733
"2015-12-15 18:00:00",44.65,756700
"2015-12-16 18:00:00",45.1,555324
"2015-12-17 18:00:00",45.1,3069000
"2015-12-18 18:00:00",44.5,92560
"2015-12-21 18:00:00",44.55,1915740
"2015-12-22 18:00:00",44.55,23225
"2015-12-23 18:00:00",44.55,20700
"2015-12-28 18:00:00",44.45,40178
"2015-12-29 18:00:00",44.45,4610874
"2015-12-30 18:00:00",44.8,689300
"2016-01-04 18:00:00",45,12271874
"2016-01-05 18:00:00",45.6,3677000
"2016-01-06 18:00:00",45.8,6782543
"2016-01-07 18:00:00",46.1,5583000
"2016-01-08 18:00:00",46.3,2340142
"2016-01-11 18:00:00",46.1,7500000
"2016-01-12 18:00:00",47.1,5007482
"2016-01-13 18:00:00",47.75,6364864
"2016-01-14 18:00:00",46.15,6110000
"2016-01-15 18:00:00",45.7,6454500
"2016-01-18 18:00:00",45.225,8925119
"2016-01-19 18:00:00",45.95,8151084
"2016-01-20 18:00:00",45.05,4436000
"2016-01-21 18:00:00",45.6,3840000
"2016-01-22 18:00:00",46.15,6548422
"2016-01-25 18:00:00",46.1,38169
"2016-01-26 18:00:00",45.8,2800000
"2016-01-27 18:00:00",46.25,1885300
"2016-01-28 18:00:00",46.15,2500000
"2016-01-29 18:00:00",46.15,0
"2016-02-01 18:00:00",45.8,4250000
"2016-02-02 18:00:00",45.5,1760000
"2016-02-03 18:00:00",45.8,69806
"2016-02-04 18:00:00",45.8,0
"2016-02-05 18:00:00",45.3,7408
"2016-02-08 18:00:00",44.4,5530033
"2016-02-09 18:00:00",44.6,9801200
"2016-02-10 18:00:00",44.5,3100000
"2016-02-11 18:00:00",43.75,2062037
"2016-02-12 18:00:00",44,1822497
"2016-02-15 18:00:00",43.95,1019234
"2016-02-16 18:00:00",43.8,1082909
"2016-02-17 18:00:00",44.35,3827032
"2016-02-18 18:00:00",44.4,1090000
"2016-02-19 18:00:00",44,306452
"2016-02-22 18:00:00",44.8,8535000
"2016-02-23 18:00:00",45.35,8484800
"2016-02-24 18:00:00",45.45,1096746
