"DateTime","Reginn Verð ","Reginn Magn"
"2015-01-15 18:00:00",14.67,565100
"2015-01-16 18:00:00",14.67,0
"2015-01-19 18:00:00",14.5,2000000
"2015-01-20 18:00:00",14.5,1000000
"2015-01-21 18:00:00",14.5,1503103
"2015-01-22 18:00:00",14.5,2166130
"2015-01-23 18:00:00",14.5,2000000
"2015-01-26 18:00:00",14.41,214491
"2015-01-27 18:00:00",14.475,4540000
"2015-01-28 18:00:00",14.4,2550000
"2015-01-29 18:00:00",14.425,3700000
"2015-01-30 18:00:00",14.35,953932
"2015-02-02 18:00:00",14.425,7000000
"2015-02-03 18:00:00",14.4,450000
"2015-02-04 18:00:00",14.42,1116944
"2015-02-05 18:00:00",14.35,1500000
"2015-02-06 18:00:00",14.3,280000
"2015-02-09 18:00:00",14.39,2900000
"2015-02-10 18:00:00",14.2,5088493
"2015-02-11 18:00:00",14.34,8833114
"2015-02-12 18:00:00",14.33,1072358
"2015-02-13 18:00:00",14.33,0
"2015-02-16 18:00:00",14.25,346731
"2015-02-17 18:00:00",14.3,3750000
"2015-02-18 18:00:00",14.2,2550000
"2015-02-19 18:00:00",14.225,3183996
"2015-02-20 18:00:00",14.3,469200
"2015-02-23 18:00:00",14.3,6200000
"2015-02-24 18:00:00",14.3,1619514
"2015-02-25 18:00:00",14.4,7742949
"2015-02-26 18:00:00",14.65,3919036
"2015-02-27 18:00:00",14.55,14428611
"2015-03-02 18:00:00",14.6,798939
"2015-03-03 18:00:00",14.6,764092
"2015-03-04 18:00:00",14.8,9783789
"2015-03-05 18:00:00",14.8,0
"2015-03-06 18:00:00",14.8,4299465
"2015-03-09 18:00:00",14.91,2135000
"2015-03-10 18:00:00",14.85,2016791
"2015-03-11 18:00:00",14.9,5546880
"2015-03-12 18:00:00",14.75,1024391
"2015-03-13 18:00:00",14.75,0
"2015-03-16 18:00:00",14.75,139502
"2015-03-17 18:00:00",15.15,16993880
"2015-03-18 18:00:00",14.96,1500000
"2015-03-19 18:00:00",14.91,12195
"2015-03-20 18:00:00",15.1,15280000
"2015-03-23 18:00:00",15.05,4500000
"2015-03-24 18:00:00",15.2,19097000
"2015-03-25 18:00:00",15.5,9821952
"2015-03-26 18:00:00",15.55,1839444
"2015-03-27 18:00:00",15.5,21000000
"2015-03-30 18:00:00",15.45,2740408
"2015-03-31 18:00:00",15.5,3500000
"2015-04-01 18:00:00",15.5,3512796
"2015-04-07 18:00:00",15.35,8085000
"2015-04-08 18:00:00",15.375,2000000
