"DateTime","Eimskipafélag Íslands Verð ","Eimskipafélag Íslands Magn"
"2015-02-02 18:00:00",237,15064
"2015-02-03 18:00:00",237,50721
"2015-02-04 18:00:00",237,34249
"2015-02-05 18:00:00",240,465221
"2015-02-06 18:00:00",238.5,406810
"2015-02-09 18:00:00",241,438945
"2015-02-10 18:00:00",239,101018
"2015-02-11 18:00:00",240,244545
"2015-02-12 18:00:00",239,3848
"2015-02-13 18:00:00",239.5,465
"2015-02-16 18:00:00",238.5,331617
"2015-02-17 18:00:00",238.5,81705
"2015-02-18 18:00:00",238,96400
"2015-02-19 18:00:00",237.75,53771
"2015-02-20 18:00:00",237.5,350383
"2015-02-23 18:00:00",234,213422
"2015-02-24 18:00:00",234.5,276042
"2015-02-25 18:00:00",232.5,686503
"2015-02-26 18:00:00",232.5,877
"2015-02-27 18:00:00",237,1687887
"2015-03-02 18:00:00",234,398417
"2015-03-03 18:00:00",234,30000
"2015-03-04 18:00:00",236,112289
"2015-03-05 18:00:00",237,43808
"2015-03-06 18:00:00",236,562585
"2015-03-09 18:00:00",234,41300
"2015-03-10 18:00:00",231,1111854
"2015-03-11 18:00:00",231.5,102950
"2015-03-12 18:00:00",233,20000
"2015-03-13 18:00:00",231.5,108993
"2015-03-16 18:00:00",228,551765
"2015-03-17 18:00:00",228,37151
"2015-03-18 18:00:00",230,1900
"2015-03-19 18:00:00",229,600810
"2015-03-20 18:00:00",228.5,43000
"2015-03-23 18:00:00",228,105369
"2015-03-24 18:00:00",228,28586
"2015-03-25 18:00:00",226,539796
"2015-03-26 18:00:00",226,0
"2015-03-27 18:00:00",221,18336
"2015-03-30 18:00:00",222,29808
"2015-03-31 18:00:00",225,582200
"2015-04-01 18:00:00",224.5,242085
"2015-04-07 18:00:00",224,45817
"2015-04-08 18:00:00",224,15985
"2015-04-09 18:00:00",227,9930
"2015-04-10 18:00:00",224.5,16490
"2015-04-13 18:00:00",224.5,10000
"2015-04-14 18:00:00",224.5,0
"2015-04-15 18:00:00",223,750800
"2015-04-16 18:00:00",222.5,3450
"2015-04-17 18:00:00",225,1007055
"2015-04-20 18:00:00",226,207549
"2015-04-21 18:00:00",226,324500
"2015-04-22 18:00:00",226,354488
"2015-04-24 18:00:00",227,116808
"2015-04-27 18:00:00",224,400000
"2015-04-28 18:00:00",221,529077
"2015-04-29 18:00:00",222,54414
"2015-04-30 18:00:00",220,36335
"2015-05-04 18:00:00",220,4327
"2015-05-05 18:00:00",219.75,325000
"2015-05-06 18:00:00",219,19808
"2015-05-07 18:00:00",219,172000
"2015-05-08 18:00:00",220.5,101517
"2015-05-11 18:00:00",221,444616
"2015-05-12 18:00:00",225,529668
"2015-05-13 18:00:00",226,330935
"2015-05-15 18:00:00",226,322100
"2015-05-18 18:00:00",226,31274
"2015-05-19 18:00:00",227,913067
"2015-05-20 18:00:00",227.5,1152849
"2015-05-21 18:00:00",227.5,40000
"2015-05-22 18:00:00",213.5,1750508
"2015-05-26 18:00:00",217,848608
"2015-05-27 18:00:00",216,869282
"2015-05-28 18:00:00",218.5,395301
"2015-05-29 18:00:00",217.5,625000
"2015-06-01 18:00:00",216,155555
"2015-06-02 18:00:00",212,402000
"2015-06-03 18:00:00",210,53049
"2015-06-04 18:00:00",206,1505646
"2015-06-05 18:00:00",207.5,634635
"2015-06-08 18:00:00",212.5,2230308
"2015-06-09 18:00:00",216,794826
"2015-06-10 18:00:00",216,959710
"2015-06-11 18:00:00",218,118500
"2015-06-12 18:00:00",218,150200
"2015-06-15 18:00:00",217.5,9157
"2015-06-16 18:00:00",217.5,5323
"2015-06-18 18:00:00",217.5,4726
"2015-06-19 18:00:00",217.5,0
"2015-06-22 18:00:00",215,355971
"2015-06-23 18:00:00",215,51497
"2015-06-24 18:00:00",217,406008
"2015-06-25 18:00:00",219,698511
"2015-06-26 18:00:00",222,1633491
"2015-06-29 18:00:00",222,965095
"2015-06-30 18:00:00",224.5,2215277
"2015-07-01 18:00:00",223,109753
"2015-07-02 18:00:00",225.5,2268344
"2015-07-03 18:00:00",228,512200
"2015-07-06 18:00:00",228.5,50000
"2015-07-07 18:00:00",226.5,71500
"2015-07-08 18:00:00",227,1930000
"2015-07-09 18:00:00",228.5,210720
"2015-07-10 18:00:00",229.5,22340
"2015-07-13 18:00:00",228.5,27192
"2015-07-14 18:00:00",227,101811
"2015-07-15 18:00:00",225.5,552000
"2015-07-16 18:00:00",225.5,50000
"2015-07-17 18:00:00",225.5,4808
"2015-07-20 18:00:00",226.5,550
"2015-07-21 18:00:00",226.5,0
"2015-07-22 18:00:00",228,5400
"2015-07-23 18:00:00",225.5,14500
"2015-07-24 18:00:00",228,65350
"2015-07-27 18:00:00",228,50000
"2015-07-28 18:00:00",228,0
"2015-07-29 18:00:00",227,123000
"2015-07-30 18:00:00",228,17555
"2015-07-31 18:00:00",228,1600
"2015-08-04 18:00:00",228,167060
"2015-08-05 18:00:00",229,17708
"2015-08-06 18:00:00",227,9300
"2015-08-07 18:00:00",230,406508
"2015-08-10 18:00:00",231,432
"2015-08-11 18:00:00",233,343650
"2015-08-12 18:00:00",236,765089
"2015-08-13 18:00:00",235,1753390
"2015-08-14 18:00:00",236,21820
"2015-08-17 18:00:00",237.5,309540
"2015-08-18 18:00:00",239,653185
"2015-08-19 18:00:00",236,713900
"2015-08-20 18:00:00",239.25,1804095
"2015-08-21 18:00:00",239,167375
"2015-08-24 18:00:00",231,1463116
"2015-08-25 18:00:00",233,1037844
"2015-08-26 18:00:00",233.5,573200
"2015-08-27 18:00:00",234.5,701467
"2015-08-28 18:00:00",243,1830415
"2015-08-31 18:00:00",246,1362819
"2015-09-01 18:00:00",242,459008
"2015-09-02 18:00:00",242.5,65987
"2015-09-03 18:00:00",244,104744
"2015-09-04 18:00:00",243,422515
"2015-09-07 18:00:00",245,115150
"2015-09-08 18:00:00",245,120158
"2015-09-09 18:00:00",243,60304
"2015-09-10 18:00:00",243,852200
"2015-09-11 18:00:00",241.5,354000
