"DateTime","Reitir fasteignafélag Verð ","Reitir fasteignafélag Magn"
"2017-04-18 18:00:00",100.5,5701107
"2017-04-19 18:00:00",100.5,484023
"2017-04-21 18:00:00",101,1571811
"2017-04-24 18:00:00",102.5,3857110
"2017-04-25 18:00:00",102.5,820000
"2017-04-26 18:00:00",102.5,4822654
"2017-04-27 18:00:00",102.5,1965000
"2017-04-28 18:00:00",102.5,3804755
"2017-05-02 18:00:00",102.5,458074
"2017-05-03 18:00:00",102.5,2683632
"2017-05-04 18:00:00",104,1457616
"2017-05-05 18:00:00",104.5,5078000
"2017-05-08 18:00:00",107.5,3586000
"2017-05-09 18:00:00",109,3470000
"2017-05-10 18:00:00",109,4025225
"2017-05-11 18:00:00",106.5,7746790
"2017-05-12 18:00:00",107,3076124
"2017-05-15 18:00:00",107.25,1315000
"2017-05-16 18:00:00",105.5,2452648
"2017-05-17 18:00:00",109,4947723
"2017-05-18 18:00:00",107.5,2111226
"2017-05-19 18:00:00",109,6826019
"2017-05-22 18:00:00",106.5,1602600
"2017-05-23 18:00:00",107,1731335
"2017-05-24 18:00:00",106.5,2173500
"2017-05-26 18:00:00",105.5,114000
"2017-05-29 18:00:00",105.5,1800000
"2017-05-30 18:00:00",104,8588379
"2017-05-31 18:00:00",103.5,2535950
"2017-06-01 18:00:00",104.5,3333578
"2017-06-02 18:00:00",103,3676537
"2017-06-06 18:00:00",103,323661
"2017-06-07 18:00:00",103.75,608948
"2017-06-08 18:00:00",104.5,2812612
"2017-06-09 18:00:00",104,4108200
